"Story","Title","Result","Date","Stability","Duration (s)"
"When adding tasks","Adding a single task","SUCCESS","2022-11-09T09:32:28.468075445Z[Etc/UTC]","0.0","2.67"
"When completing a task","Completed tasks should not show active tasks","SUCCESS","2022-11-09T09:32:28.804632319Z[Etc/UTC]","0.0","3.74"
